,week,product_analytic_sub_category,gmv,units,sla,product_mrp,product_procurement_sla,sla_diff,discount_percentage,gmv_per_unit,order_payment_type_Prepaid,special_sales,NPS,Stock Index,Total Investment,TV,Digital,Sponsorship,Content Marketing,Online marketing,Affiliates,SEM,Radio,Other,pay_day
95,34,HomeAudio,1427027.0,1193,6.686224489795919,1814.7755102040817,2.136904761904762,4.549319727891157,34.0413048565202,1202.983843537415,215.0,1,50.32740649908173,1222.0,48.052000000001236,0.17392507346442934,0.12863766010464917,0.788616419643094,0.04013655541486782,1.3378851804955638,0.43481268366105397,0.32778186922142183,0.0,0.0,1
96,35,CameraAccessory,1885103.0,4446,6.038593286138388,1132.7131765243207,1.9611783512217402,4.077414934916647,56.962728920333205,424.7593057775748,705.0,0,50.3274064990773,1222.0,48.05199999999775,0.18972499215388275,0.1403235230430493,0.8602568971162984,0.04378269049704835,1.4594230165684525,0.47431248038470347,0.35755863905927426,0.0,0.0,0
97,35,GamingAccessory,1866201.350183419,3954,6.206468305304011,1059.0698576972834,2.195601552393273,4.010866752910737,52.84613515782441,473.10156537733997,587.0,0,50.32740649907838,1222.0,48.051999999997975,0.12114819685701066,0.08960307021385885,0.5493138818258732,0.027957276197771566,0.93190920659251,0.30287049214256806,0.2283177556151673,0.0,0.0,0
98,35,HomeAudio,1515281.0,1187,6.785411365564038,1916.7871077184054,2.1509754028838,4.634435962680238,33.119327420007416,1280.559796437659,211.0,0,50.32740649908174,1222.0,48.05200000000124,0.17392507346442934,0.1286376601046492,0.7886164196430939,0.04013655541486782,1.3378851804955636,0.434812683661054,0.32778186922142183,0.0,0.0,0
99,36,CameraAccessory,1788057.001223748,3953,5.968123393316195,1079.8845758354755,2.1460154241645246,3.822107969151671,52.197127085606695,454.10205666013263,762.0,0,49.23791182505937,1049.4290488431877,91.3803319524708,0.6003760399703657,0.15178243619374143,2.6868698579686043,0.02991259074681268,1.3704578183967902,0.4591835516217484,0.37712860318124075,0.053212215806676615,0.9752848117555456,1
100,36,GamingAccessory,1917160.2519998252,3898,5.949396958573676,1033.9229155742003,2.145516518091243,3.803880440482433,50.97939859532099,495.1622751556312,601.0,0,49.18844749939965,1041.5941269008915,93.34748862896738,0.3952729953284085,0.09725231955788413,1.7686457511621938,0.01869847040869821,0.8725216386088493,0.2927713713189557,0.24138143218326558,0.03552112678582768,0.6510387685513244,1
101,36,HomeAudio,1448342.0,1210,6.635986733001658,1786.0364842454394,2.160033167495854,4.4759535655058045,32.786737968425285,1198.7014925373135,236.0,0,49.203683647014536,1044.0074626865671,92.74155922233822,0.5622047762196587,0.13947231745108707,2.5157196165295392,0.027022067489305367,1.2537666061360544,0.42050794489484,0.3462857057332612,0.05031333402465567,0.9221534897420163,1
102,37,CameraAccessory,1860610.0,4270,5.910419161676646,1113.7082634730539,2.102994011976048,3.807425149700599,54.607048983720695,438.7195209580838,934.0,1,49.020550414609,1015.0,100.02462142926677,0.6823036464881415,0.15406856533604626,3.051291253488643,0.027145413892540656,1.3527086715522187,0.45616523003382153,0.3810329407658591,0.06382840563921531,1.1698605975113245,0
103,37,GamingAccessory,2112722.250679897,3819,5.646396999732119,1131.5389766943476,2.1427806054111973,3.5036163943209213,49.969718191456145,555.9117109362879,753.0,1,49.0205504146101,1015.0,100.02462142926626,0.43568248728117026,0.09837991648284578,1.9483908221534134,0.017333604332691686,0.863767153557121,0.29128263208804084,0.24330718474595267,0.04075739397146378,0.7470101875014342,0
104,37,HomeAudio,1469342.0,1235,6.6558177379983725,1802.458909682669,2.1236777868185515,4.532139951179821,34.39084734205496,1192.13425549227,299.0,1,49.02055041461416,1015.0,100.02462142925744,0.6254827605645322,0.14123804270812443,2.797185807728966,0.024884798000954556,1.2400577931497836,0.4181767001007309,0.34930127793239335,0.05851290340765106,1.0724369417828918,0
